Year,SP500,QQQ,Diff
2000,-0.0884939177387728,-0.38390529854721855,-0.29541138080844576
2001,-0.1013157089426634,-0.2718595689401079,-0.17054385999744448
2002,-0.22419502245675038,-0.3924210435883768,-0.16822602113162644
2003,0.24184309634110712,0.43599335210435086,0.19415025576324374
2004,0.10747670021714151,0.10842470882579813,0.0009480086086566253
2005,0.053249280734368076,0.02645319839672089,-0.026796082337647187
2006,0.1384283410130187,0.048097384791933484,-0.09033095622108522
2007,0.05332152848967864,0.18807830010747728,0.13475677161779864
2008,-0.3623676861516365,-0.40790814975349554,-0.04554046360185904
2009,0.22654667411560503,0.48253540562178876,0.25598873150618373
2010,0.13137392225672784,0.18409695370824575,0.05272303145151791
2011,0.0085241794170694,0.01885578523493736,0.010331605817867962
2012,0.14170918655430742,0.1589145914421226,0.01720540488781519
2013,0.29001413670696863,0.32425402368264145,0.03423988697567282
2014,0.14561701438932406,0.20123715205038262,0.055620137661058555
2015,0.01288491945647241,0.09765474327805324,0.08476982382158083
2016,0.1358575790325045,0.09406095321501762,-0.04179662581748689
2017,0.20781454669342625,0.31487166705726244,0.10705712036383619
2018,-0.05247191556968267,-0.01846538924133656,0.03400652632834611
2019,0.3108754563883489,0.3840528839142012,0.07317742752585232
2020,0.17235245847968694,0.4596883249984727,0.28733586651878573
2021,0.30505480947352326,0.29244673766343454,-0.012608071810088717
2022,-0.18646399196246533,-0.3321987653830758,-0.14573477342061048
2023,0.2670925133074289,0.5590947925448633,0.2920022792374344
2024,0.25589292424490107,0.27739920024739995,0.02150627600249888
2025,0.1800902711523764,0.21009253514962745,0.030002263997251033
2026,0.06232219599568989,0.11310904294234425,0.05078684694665436
