week,qqq_pred_1w,qqq_pred_1w_cum,qqq_pred_1w_cum_nrst,qqq_actual_1w,qqq_actual_1w_cum,qqq_actual_1w_cum_nrst,qqq_pred_1m,qqq_pred_1m_cum,qqq_pred_1m_cum_nrst,qqq_actual_1m,qqq_actual_1m_cum,qqq_actual_1m_cum_nrst,qqq_pred_6m,qqq_actual_6m,sp_pred_1w,sp_pred_1w_cum,sp_pred_1w_cum_nrst,sp_actual_1w,sp_actual_1w_cum,sp_actual_1w_cum_nrst,sp_pred_1m,sp_pred_1m_cum,sp_pred_1m_cum_nrst,sp_actual_1m,sp_actual_1m_cum,sp_actual_1m_cum_nrst,sp_pred_6m,sp_actual_6m
2010-11-01,-0.01176405358804361,-0.01176405358804361,-0.01176405358804361,0.028296900877277764,0.028296900877277764,0.028296900877277764,,,,,,,,,-0.030080574564880946,-0.030080574564880946,-0.030080574564880946,0.035589487696834565,0.035589487696834565,0.035589487696834565,,,,,,,,
2010-11-08,0.014995275215632708,0.003231221627589098,0.003231221627589098,-0.021668055777098738,0.006628845100179026,0.006628845100179026,,,,,,,,,-0.004196861702295274,-0.03427743626717622,-0.03427743626717622,-0.021847795087395094,0.013741692609439471,0.013741692609439471,,,,,,,,
2010-11-15,0.0164931249830107,0.019724346610599797,0.019724346610599797,-0.000485309200921491,0.006143535899257535,0.006143535899257535,,,,,,,,,-6.7651365161292e-05,-0.03434508763233751,-0.03434508763233751,0.0006870003125506452,0.014428692921990116,0.014428692921990116,,,,,,,,
2010-11-22,-0.01669415803935838,0.0030301885712414184,0.0030301885712414184,0.0060863273261309025,0.012229863225388438,0.012229863225388438,,,,,,,,,-0.03137096412575549,-0.065716051758093,-0.065716051758093,-0.008404994056835813,0.006023698865154303,0.006023698865154303,,,,,,,,
2010-11-29,0.005068248104104181,0.0080984366753456,0.0080984366753456,0.020979329872106045,0.03320919309749448,0.03320919309749448,,,,,,,,,-0.014968794854649525,-0.08068484661274253,-0.08068484661274253,0.02958967852893335,0.03561337739408765,0.03561337739408765,,,,,,,,
2010-12-06,0.017537765201821043,0.025636201877166642,0.025636201877166642,0.01147311327972056,0.04468230637721504,0.04468230637721504,,,,,,,,,-0.004361333433476763,-0.08504618004621929,-0.08504618004621929,0.012762991860663098,0.04837636925475075,0.04837636925475075,,,,,,,,
2010-12-13,0.05486036625497796,0.0804965681321446,0.0804965681321446,0.0025791028804914573,0.0472614092577065,0.0472614092577065,0.014944160880474358,0.014944160880474358,0.014944160880474358,0.010279468339612241,0.010279468339612241,0.010279468339612241,,,0.022227356088773943,-0.06281882395744534,-0.06281882395744534,0.0028587236733719212,0.05123509292812267,0.05123509292812267,0.00492869791997827,0.00492869791997827,0.00492869791997827,0.009201600001533139,0.009201600001533139,0.009201600001533139,,
2010-12-20,0.0352597059277118,0.1157562740598564,0.1157562740598564,0.004049078503525649,0.05131048776123215,0.05131048776123215,0.015699906009498013,0.03064406688997237,0.03064406688997237,0.009770156133960928,0.02004962447357317,0.02004962447357317,,,0.007319719862350278,-0.05549910409509507,-0.055499104095095064,0.01031368226523488,0.06154877519335755,0.06154877519335755,0.00024184457571760354,0.005170542495695873,0.005170542495695873,0.013881269082050812,0.02308286908358395,0.02308286908358395,,
2010-12-27,0.0481978222293517,0.1639540962892081,0.1639540962892081,-0.0051148771491907885,0.04619561061204136,0.04619561061204136,0.021454879030305934,0.052098945920278306,0.052098945920278306,0.0032466043786367194,0.023296228852209888,0.023296228852209888,,,0.015569566225402346,-0.03992953786969272,-0.03992953786969272,0.0006941578761990863,0.06224293306955664,0.06224293306955664,0.002593791368707965,0.0077643338644038384,0.0077643338644038384,0.006657388918867246,0.029740258002451198,0.029740258002451198,,
2011-01-03,0.0485883790005944,0.0485883790005944,0.2125424752898025,0.025723775350245726,0.025723775350245726,0.07191938596228709,0.0067907342160867384,0.0067907342160867384,0.058889680136365044,0.006809269896268011,0.006809269896268011,0.0301054987484779,,,0.015754234891738102,0.015754234891738102,-0.02417530297795462,0.011041196679161924,0.011041196679161924,0.07328412974871856,-0.008173063918800016,-0.008173063918800016,-0.00040873005439617804,0.006226940123491953,0.006226940123491953,0.03596719812594315,,
2011-01-10,-0.015241318666850745,0.033347060333743656,0.19730115662295175,0.020084409444024898,0.04580818479427062,0.09200379540631198,0.00790618046221675,0.014696914678303488,0.0667958605985818,0.011185596537151371,0.017994866433419382,0.04129109528562927,,,-0.038925240082593904,-0.0231710051908558,-0.06310054306054852,0.017030176605705827,0.02807137328486775,0.09031430635442439,-0.010316043241038145,-0.01848910715983816,-0.010724773295434323,0.00976980335657543,0.015996743480067382,0.04573700148251858,,
2011-01-17,0.036531443254157636,0.06987850358790129,0.2338325998771094,-0.02330667601656189,0.022501508777708734,0.0686971193897501,0.0103570374392837,0.025053952117587187,0.07715289803786549,0.004346657907129486,0.02234152434054887,0.045637753192758757,,,-0.017978000813937967,-0.041149006004793764,-0.08107854387448649,-0.007620657925686225,0.020450715359181526,0.08269364842873816,-0.0068263911196503185,-0.02531549827948848,-0.01755116441508464,0.005286218308845153,0.021282961788912536,0.05102321979136373,,
