window,n_obs,R2,Adj_R2,AIC,BIC,n_features
all,3940,0.35011677174643174,0.2932385322775247,-13604.24519688412,-11607.54354815527,375
1y,260,0.9969952373821814,0.9351472068320825,-1793.5395963380474,-910.4905518461967,293
3y,781,0.7891670330085234,0.6914639507441807,-3227.947182373783,-2072.124545213541,293
5y,1302,0.7115534186477777,0.6186290626633726,-4798.975305664566,-3154.388436024178,375
10y,2606,0.45227846862274756,0.3763922249835041,-8769.315202654652,-6904.063383710889,375
