date,mrdi_short,mrdi_long,ma20_mrdi,ma60_mrdi,risk_score,is_latest,display_roled
2010-10-19,5.734811953304011,2.724785290234989,2.882403376897784,3.350346466624958,0.7908811634496904,0.0,0
2010-10-20,2.012230163322429,1.2217736735151574,2.6825317629272694,2.9400354901473817,0.2968702132746648,0.0,0
2010-10-21,2.7532294316706807,1.8779513352342423,2.870723353544016,2.949421464110954,0.4212256472286502,0.0,0
2010-10-22,2.8661659018270367,2.812101637187951,2.052876326256812,2.533331015593531,0.500976076904092,0.0,0
2010-10-25,2.480550273551501,1.6046225762111497,2.0943435423147414,2.5379588112265794,0.3731419199845115,0.0,0
2010-10-26,2.3747989611893736,1.958556113327099,2.4063127916464246,2.5138282560000085,0.388016910538708,0.0,0
2010-10-27,2.549649742597862,1.8361999571444116,2.2912689782071904,2.3127650994171027,0.3971571654762048,0.0,0
2010-10-28,2.092324743116908,1.7363032340441156,2.390635524567648,2.6240352124689275,0.3426442843211111,0.0,0
2010-10-29,1.343445621418623,1.2360555001330062,2.2138615840549614,2.432503767297783,0.2288401487337318,0.0,0
2010-11-01,2.764815935961204,1.7644974609857589,2.428967176399538,2.440185847061447,0.4141530778543923,0.0,0
2010-11-02,2.4038426953924734,2.163045383568568,2.08676451182612,2.5842117018753563,0.4059209175369076,0.0,0
2010-11-03,4.078477859996324,4.002495191867515,2.6479175711409653,2.5580899652245668,0.7129448291127728,0.0,0
2010-11-04,5.040337089723772,4.278247374063844,2.373669290452833,3.053252081832958,0.8131160902518144,0.0,0
2010-11-05,2.3404754459026256,2.369920310891453,2.358842733534526,3.752734518353245,0.4055083522518418,0.0,0
2010-11-08,2.4555705267809262,2.0055533793248204,2.1395701855032296,3.583587695776146,0.3903979750980535,0.0,0
2010-11-09,3.3375444304518496,2.940112275752297,2.267650185462925,4.084693298833995,0.5462318391079672,0.0,0
2010-11-10,1.944914333202424,1.3641423471478806,2.113375741096625,4.037316505754569,0.2928602583124916,0.0,0
2010-11-11,2.17021302983634,1.3512027270571605,1.915786764082917,4.088786592203364,0.3143244366708124,0.0,0
2010-11-12,4.94995796822125,3.956886015667571,1.6341321138285672,3.857091986385005,0.7807045873607414,0.0,0
2010-11-15,2.8781174280722497,2.8035172602168745,1.8609590818534825,3.774602268106804,0.4932205209913298,0.0,0
2010-11-16,3.656242396127185,3.862116115697707,1.8803803039683855,3.0786522622909427,0.6615781386966989,0.0,0
2010-11-17,1.6290847209316142,1.2653534091273255,1.834764717963828,3.177287829636734,0.2615776986633117,0.0,0
2010-11-18,3.8861364271323215,3.38797271894698,1.9149471243046725,2.801474583034665,0.6509182720229693,0.0,0
2010-11-19,1.78909612533372,1.2382763580960825,1.642584334307017,2.4332350860521257,0.2762381034832725,0.0,0
2010-11-22,2.3002361226230343,2.0431567653348197,1.4210779655182486,2.8299465286978287,0.3880380868953919,0.0,0
2010-11-23,3.2671972643310307,2.1704939335029474,1.492453150160254,3.123551069585884,0.5067802756336051,0.0,0
2010-11-24,2.912856543558397,2.6465042398481726,1.3358952458027948,2.792979442078871,0.5036697149859071,0.0,0
2010-11-25,0.683487384368371,0.2851960112258465,1.386937026919474,2.6189591681051443,0.0937089723655865,0.0,0
2010-11-26,3.412671239474812,3.114976993264613,1.4541281792879428,2.764060363084787,0.5911407272377763,0.0,0
2010-11-29,2.2836260507499757,1.6920171300206786,1.903503384317984,2.504872476742859,0.3669674938646864,0.0,0
2010-11-30,3.1043013748825663,2.072418043659233,2.084667811894566,2.4630774573673238,0.4822523361192296,0.0,0
2010-12-01,4.172651456845474,3.1693985119645096,2.5709883194701963,2.225686967100423,0.6761905775512835,0.0,0
2010-12-02,2.378342783077457,1.676082936411244,3.498850922182512,1.8892041464316447,0.3759115650668819,0.0,0
2010-12-03,3.2815654777193437,2.340010618530683,3.520163837349881,2.098601908036068,0.5206686413489924,0.0,0
2010-12-06,2.63962702406696,1.7211167305979351,3.008994607221702,1.9115252942941103,0.4070706570665485,0.0,0
2010-12-07,3.4045684108574155,3.925256477059841,4.210749445813157,1.8298548326936317,0.6493343002451528,0.0,0
2010-12-08,2.3828517578922312,1.4680774596465036,4.27959552184214,1.537126966622978,0.3612319350203669,0.0,0
2010-12-09,1.780716066847852,1.4487771603196955,4.446777445142889,1.801507485525314,0.2955825701787042,0.0,0
2010-12-10,1.7727945230405011,1.573304152864312,3.997689611854113,2.0735421643223315,0.3038136914646691,0.0,0
2010-12-13,1.5604258381833078,1.095507240770882,3.573203789794924,2.051045283982281,0.2463310678834598,0.0,0
2010-12-14,2.7915992418065336,2.861683240910557,3.937823210082128,2.961483284598733,0.5064161636497099,0.0,0
2010-12-15,2.231652679534686,1.927512394703956,3.783473261934449,2.8732661800571653,0.3803054553071165,0.0,0
2010-12-16,2.4755691101520183,1.3693726749220798,2.9100230918861407,2.6336327799174706,0.3658590031586528,0.0,0
2010-12-17,3.4141220450776912,2.7259290456057683,2.6891655766698435,2.3210472248730736,0.5732456985867901,0.0,0
2010-12-20,1.3204102493072138,1.0861990377645854,3.252485899314237,2.6377373589462603,0.2241518186733318,0.0,0
2010-12-21,1.7408852389032283,1.1936638327878897,3.783422199281586,2.8357163588830763,0.2772518377823357,0.0,0
2010-12-22,1.7743289451522215,1.698071130373741,3.156832221967948,2.6564253147881574,0.3194913408080421,0.0,0
2010-12-23,1.853023128184237,1.8009854214392798,3.2920667026427384,2.63022414164138,0.3357774468253941,0.0,0
2010-12-24,1.4270284935453004,0.5327894776167302,3.5235442660645084,2.569623109594574,0.1930988556135067,0.0,0
