week,qqq_1w_error,qqq_1w_sigma,qqq_1w_shock_score,qqq_1w_p95,qqq_1w_p99,qqq_1w_shock_p95_flag,qqq_1w_shock_p99_flag,qqq_1m_error,qqq_1m_sigma,qqq_1m_shock_score,qqq_1m_p95,qqq_1m_p99,qqq_1m_shock_p95_flag,qqq_1m_shock_p99_flag,sp_1w_error,sp_1w_sigma,sp_1w_shock_score,sp_1w_p95,sp_1w_p99,sp_1w_shock_p95_flag,sp_1w_shock_p99_flag,sp_1m_error,sp_1m_sigma,sp_1m_shock_score,sp_1m_p95,sp_1m_p99,sp_1m_shock_p95_flag,sp_1m_shock_p99_flag
2010-11-01,0.0763802622845702,,,,,False,False,,,,,,False,False,0.0862813893459322,,,,,False,False,,,,,,False,False
2010-11-08,0.09885861347056149,,,,,False,False,,,,,,False,False,0.1060076387983763,,,,,False,False,,,,,,False,False
2010-11-15,0.13501635650216892,,,,,False,False,,,,,,False,False,0.1401448298035179,,,,,False,False,,,,,,False,False
2010-11-22,0.1944321051226749,,,,,False,False,,,,,,False,False,0.183755233126367,,,,,False,False,,,,,,False,False
2010-11-29,0.25062227673750603,,,,,False,False,,,,,,False,False,0.2478721269940125,,,,,False,False,,,,,,False,False
2010-12-06,0.28368121627965837,,,,,False,False,,,,,,False,False,0.2854943894444392,,,,,False,False,,,,,,False,False
2010-12-13,0.2699560954257172,,,,,False,False,-0.018595325359102,,,,,False,False,0.2835086776347409,,,,,False,False,-0.0183318004104184,,,,,False,False
2010-12-20,0.2785968930486107,,,,,False,False,-0.0421624343022414,,,,,False,False,0.3069457781590917,,,,,False,False,-0.030668885515360702,,,,,False,False
2010-12-27,0.2616100394778887,,,,,False,False,-0.0770110396995759,,,,,False,False,0.3089540457059885,,,,,False,False,-0.052268725157949,,,,,False,False
2011-01-03,0.26904433194058097,,,,,False,False,-0.0853358288412181,,,,,False,False,0.3172658198253153,,,,,False,False,-0.0569180835427019,,,,,False,False
2011-01-10,0.3270676667883446,,,,,False,False,-0.0929478168456033,,,,,False,False,0.3810931420114946,,,,,False,False,-0.0575829205903713,,,,,False,False
2011-01-17,0.3012508029357251,,,,,False,False,-0.11061514946854509,,,,,False,False,0.4060577479720853,,,,,False,False,-0.0661875321944326,,,,,False,False
2011-01-24,0.2900717687333046,,,,,False,False,-0.1039974976567292,,,,,False,False,0.432974575584112,,,,,False,False,-0.050858381301941195,,,,,False,False
2011-01-31,0.3200034154897608,,,,,False,False,-0.1257201536997686,,,,,False,False,0.4966698087480591,,,,,False,False,-0.05745343970656411,,,,,False,False
2011-02-07,0.3614988822201582,,,,,False,False,-0.13589533405158621,,,,,False,False,0.5612986287333097,,,,,False,False,-0.05751078229471521,,,,,False,False
2011-02-14,0.40711276884173153,,,,,False,False,-0.1347499619893196,,,,,False,False,0.6288369739378931,,,,,False,False,-0.04986060578681059,,,,,False,False
2011-02-21,0.4025727469932357,,,,,False,False,-0.1495706534376002,,,,,False,False,0.6466806470473303,,,,,False,False,-0.0466276578234336,,,,,False,False
2011-02-28,0.4383439557101734,,,,,False,False,-0.18345689302161738,,,,,False,False,0.6962785579035209,,,,,False,False,-0.07125545300862951,,,,,False,False
2011-03-07,0.429459079696697,,,,,False,False,-0.22771188650607838,,,,,False,False,0.7205731776080474,,,,,False,False,-0.10534401813763411,,,,,False,False
2011-03-14,0.4231173460185378,,,,,False,False,-0.2886418295135912,,,,,False,False,0.7466144691953271,,,,,False,False,-0.15097588397523912,,,,,False,False
2011-03-21,0.5154987960543248,,,,,False,False,-0.3472298042010919,,,,,False,False,0.8526021992969727,,,,,False,False,-0.19900857567091262,,,,,False,False
2011-03-28,0.5354434880687811,,,,,False,False,-0.3771001066713767,,,,,False,False,0.930560734529382,,,,,False,False,-0.22526219796755761,,,,,False,False
2011-04-04,0.5708051631184208,,,,,False,False,-0.4003058022718118,,,,,False,False,0.9949491395847778,,,,,False,False,-0.24099796445487626,,,,,False,False
2011-04-11,0.5367076513068078,,,,,False,False,-0.437467686320176,,,,,False,False,0.987646568328986,,,,,False,False,-0.2688244249755811,,,,,False,False
2011-04-18,0.546719087820535,,,,,False,False,-0.4659282341931969,,,,,False,False,1.0024845300124698,,,,,False,False,-0.2862211752117952,,,,,False,False
2011-04-25,0.5458586290845513,0.1419773086707575,1.38770683335757,,,False,False,-0.5119037600020863,,,,,False,False,1.0343411868398584,0.3061755159452069,1.6464888424438289,,,False,False,-0.3204822268007304,,,,,False,False
2011-05-02,0.5588978742555379,0.13636396440813686,1.4043575055558863,,,False,False,-0.5604041444859933,,,,,False,False,1.0617410489911907,0.3093483091729566,1.5968949534205448,,,False,False,-0.3611812906589592,,,,,False,False
2011-05-09,0.5555401090289407,0.12963709437895246,1.3158372577573683,,,False,False,-0.6038012616393751,,,,,False,False,1.084516657925334,0.31044717390563,1.5433781999031857,,,False,False,-0.3940304284122579,,,,,False,False
2011-05-16,0.5139902370418357,0.12145754939950576,0.9423500545475347,,,False,False,-0.6553164582418536,,,,,False,False,1.0840556218665134,0.30905379465504645,1.4313757371244955,,,False,False,-0.43305012125193015,,,,,False,False
2011-05-23,0.5132761259650027,0.11588932333437917,0.8756474085308459,,,False,False,-0.6992206535560735,,,,,False,False,1.1085973313597857,0.30745854835712016,1.4029304600621886,,,False,False,-0.4677500324345685,,,,,False,False
2011-05-30,0.5084218891608573,0.11252747150232316,0.770554763061715,,,False,False,-0.7433272841451735,,,,,False,False,1.115320503916628,0.3060627894359743,1.322286635650629,,,False,False,-0.5002664730849089,,,,,False,False
2011-06-06,0.43157261996374097,0.1089520844212326,0.038284527143484993,,,False,False,-0.8010077409135204,0.2428778778777409,1.9710406651018262,,,False,False,1.084098618326521,0.3017342718300291,1.1359839941530512,,,False,False,-0.544488144418673,0.16807272079543784,2.0694532350450605,,,False,False
2011-06-13,0.4144548389152251,0.1041805015545648,0.17761717134588703,,,False,False,-0.8487776565167543,0.2555934232572829,1.934955890457931,,,False,False,1.0957049730786215,0.29439385158747033,1.0976225802287043,,,False,False,-0.5829164376816998,0.18014810573001622,2.0235135630073375,,,False,False
2011-06-20,0.4216655282033548,0.09936841059064035,0.16902953787019698,,,False,False,-0.8918756386683561,0.2681142503010445,1.8834459727059751,,,False,False,1.105051285631432,0.28537202657436606,1.0575082971037466,,,False,False,-0.6232374579103521,0.19250945024051858,1.984640525999156,,,False,False
2011-06-27,0.4464277618385753,0.09259054190894773,0.009262967464674636,,,False,False,-0.9272220017867049,0.2803748159386788,1.8105215504277692,,,False,False,1.153362636584998,0.2747162708299204,1.1561651676560594,,,False,False,-0.6544364618012258,0.20470953066618647,1.90563068384416,,,False,False
2011-07-04,0.45820603323863107,0.08531056096215839,0.06283494642295981,,,False,False,-0.9425383424660325,0.2897396108845263,1.6910758532139094,,,False,False,1.157995013557765,0.26035084962078786,1.113551280883019,,,False,False,-0.6773479980054378,0.21544389196255584,1.8062689387679207,,,False,False
2011-07-11,0.41605358981273677,0.081774399531857,0.4917736434591151,,,False,False,-0.9609565188886509,0.2965725626166888,1.6016481155216833,,,False,False,1.1431006226133036,0.24582187489407922,0.9995516111512693,,,False,False,-0.6997833246645224,0.22456696738738036,1.7228042294823662,,,False,False
2011-07-18,0.4693056033746438,0.07542670166834195,0.0871557796683556,,,False,False,-0.9842650348889707,0.30179228491861454,1.5398388447407794,,,False,False,1.2086529246000888,0.23163880373180967,1.210483318516462,,,False,False,-0.72486609676165,0.23263038256638835,1.6620094851922622,,,False,False
2011-07-25,0.4480986355990088,0.06683468195796659,0.3098847872853705,,,False,False,-1.0087005204645787,0.3041093364874688,1.4940373224848211,,,False,False,1.1870404792330471,0.21365450971669603,1.0754742692788508,,,False,False,-0.7646377563971473,0.23937961017997988,1.6666102380921493,,,False,False
2011-08-01,0.3908256675603784,0.061779334289892025,1.3063907686945102,,,False,False,-1.0654583148051158,0.306959608285521,1.5473199239295008,,,False,False,1.1426376774404945,0.19466669625822466,0.8246516275365582,,,False,False,-0.8271482420589782,0.24720197571640756,1.746989874504088,,,False,False
2011-08-08,0.5165424082944029,0.05810705422626248,0.6719593120012772,,,False,False,-1.1269428234275929,0.3097707057364383,1.6087125283512362,,,False,False,1.25083234343625,0.18157389718195382,1.3339271236821988,,,False,False,-0.890352081208566,0.25550233321616006,1.8122371886181223,,,False,False
2011-08-15,0.40918118508044066,0.058008168558052194,1.179061556407085,,,False,False,-1.2118725771075554,0.31308913723474063,1.7306061168738933,,,False,False,1.3653009158002325,0.17735202992881885,1.8513990658803483,,,False,False,-0.9735048067998422,0.2649576373955957,1.9273223587052923,,,False,False
2011-08-22,0.48006435004867243,0.055954758488374945,0.008801446397361485,,,False,False,-1.2674578625407682,0.3155045980852693,1.7572599668420714,,,False,False,1.4353142458491932,0.17536295690279644,2.0986795478293585,,,False,False,-1.0262412708898387,0.27293448799850245,1.9261684367962395,,,False,False
2011-08-29,0.47989496144493693,0.05529031839425566,0.040874914127211365,,,False,False,-1.331731513374316,0.3187600986850843,1.8023988708068792,,,False,False,1.4677965658773888,0.17534836428719608,2.1148711771393347,,,False,False,-1.0811674765736115,0.2811390766265144,1.9271644416840839,,,False,False
2011-09-05,0.4371857232970024,0.055015838860221405,0.8227885769293816,,,False,False,-1.3810498418021646,0.3223583686743205,1.797663949636201,,,False,False,1.425683762740762,0.16922764156851577,1.782254705955114,,,False,False,-1.125909539343121,0.28924574219507104,1.892130788900465,,,False,False
2011-09-12,0.36469427994030895,0.05861180032366672,1.9707773090092315,,,False,False,-1.3854338182341412,0.32431058547561564,1.6702867919295354,,,False,False,1.3818433902888554,0.15803741025832013,1.476451089329727,,,False,False,-1.1346913836943453,0.2953436455418875,1.7546929314777713,,,False,False
2011-09-19,0.3332113973929687,0.06479723766137338,2.160317938278114,,,False,False,-1.4273336906385452,0.32732970198432976,1.6559728596292729,,,False,False,1.3524823297857087,0.15084153300762976,1.2247773108571025,,,False,False,-1.1826474843084032,0.30264156099843764,1.7458317368683725,,,False,False
2011-09-26,-0.3200599952558111,0.16759409751263687,4.536854571112292,,,False,False,-1.2904127391021596,0.3195254850836315,1.1579694247665857,,,False,False,0.7927613581792451,0.1615490613056758,2.2883061371113107,,,False,False,-1.0695017916153278,0.3000484685628428,1.275609896043786,,,False,False
2011-10-03,0.045317523858371,0.18226826142998165,2.0560983151362584,,,False,False,-1.3459231954757933,0.3116774426878175,1.2485385385600327,,,False,False,1.1253872459759948,0.15812894700653005,0.2660149939383228,,,False,False,-1.1225524537872078,0.2974594909571786,1.3510730982992318,,,False,False
2011-10-10,0.06961109507204469,0.19301574760469448,1.7226710565266028,,,False,False,-1.3971958660796295,0.3044616125925951,1.325294652632952,,,False,False,1.219487729944982,0.15406875599650266,0.27986755040774725,,,False,False,-1.1625311868846606,0.2947828721841271,1.3823561360527359,,,False,False
2011-10-17,-0.1333120890406927,0.21719676166794497,2.3447438939254504,,,False,False,-1.4454190523943207,0.29705484707435903,1.393856433303883,,,False,False,1.1162017823803208,0.1505080039101214,0.4288200031127871,,,False,False,-1.1907339054699664,0.2905857066028236,1.3796572593863836,,,False,False
2011-10-24,-0.18966211518975548,0.24079986738004147,2.231444532347482,,,False,False,-1.462128899662445,0.2889307776254535,1.3643909430157044,,,False,False,1.1000703610422442,0.14848904980096983,0.5603127591998441,,,False,False,-1.2000532855530144,0.28490348862476916,1.3211435401601286,,,False,False
2011-10-31,-0.3344502200188896,0.27126290842200107,2.3879420668495315,,,False,False,-1.5176586143706376,0.28259401467962725,1.461201404835227,,,False,False,1.00275567277518,0.15085189358910106,1.1815982213755007,,,False,False,-1.2511893890597199,0.2805486010500649,1.401908349899403,,,False,False
