target,window,variable,coef,p_value,t_value
QQQ_1M_FWD_SUM,3y,m_9_x_MRDI_Long_x_dQQQ_M,-0.8310523056431853,0.16337056278021198,-1.3960477757189709
QQQ_1M_FWD_SUM,3y,m_9_x_MRDI_Long_x_dQQQ_W_x_RET_QQQ,0.7526238527946401,0.9722407609525269,0.03481692636522358
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_RET_QQQ,0.30184075202681954,0.24403940414761233,1.1664373891175
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_RET_SP500,-0.7972226894332765,0.16629506608390185,-1.3863947576127367
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_dQQQ_D,-0.06270808549047252,0.9308650087483189,-0.086803883700745
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_dQQQ_W,-0.4108989811603792,0.19337172295751576,-1.302566494516801
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_dQQQ_M,0.30184075199777183,0.24403940419906045,1.1664373889900574
QQQ_1M_FWD_SUM,3y,m_9_x_MA20_MRDI_x_dQQQ_W_x_RET_QQQ,-2.362050689090676,0.8655513729024755,-0.16940610189014757
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_RET_QQQ,0.4446791400959963,0.05576518582874679,1.917700793504432
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_RET_SP500,-0.7029221001571775,0.24448394490260142,-1.1653369201589179
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_dQQQ_D,-0.2120336551931849,0.6717023764199951,-0.42408340665285543
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_dQQQ_W,0.1615308349661684,0.4494337815623721,0.7570032740382622
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_dQQQ_M,0.44467914005760756,0.05576518584883964,1.917700793346499
QQQ_1M_FWD_SUM,3y,m_9_x_MA60_MRDI_x_dQQQ_W_x_RET_QQQ,3.6123475894791373,0.6390530316483203,0.46933301679440703
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_RET_QQQ,0.7907285341543779,0.00917930822294409,2.6163253966154616
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_RET_SP500,-1.9441510578857222,0.004281404935365055,-2.8708734135908203
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_dQQQ_D,0.4566733397669236,0.5482950982318776,0.6007590302639045
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_dQQQ_W,-0.6204011937695788,0.10607001170404727,-1.6192772483501685
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_dQQQ_M,0.7907285341319235,0.00917930822513924,2.6163253965325803
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Short_x_dQQQ_W_x_RET_QQQ,11.603528106528502,0.32811940014800034,0.9789451785169146
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_RET_QQQ,-0.8103521426932635,0.021331915732445545,-2.3099307155106645
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_RET_SP500,2.048100724945323,0.02068173863128838,2.321725447901531
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_dQQQ_D,-0.5494535839606194,0.6083001652303542,-0.5128517234380924
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_dQQQ_W,0.45807366875140354,0.2991564819018593,1.0394127362573014
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_dQQQ_M,-0.810352142691014,0.021331915732813372,-2.3099307155040814
QQQ_1M_FWD_SUM,3y,m_10_x_MRDI_Long_x_dQQQ_W_x_RET_QQQ,3.2918560006031843,0.8063600483814451,0.24526514108183706
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_RET_QQQ,-0.14296285414829332,0.6604976439696583,-0.43950986146474275
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_RET_SP500,0.7631177663386927,0.34504913709870194,0.9452033369981846
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_dQQQ_D,-0.16443492559995643,0.7915401303290195,-0.26446427120154864
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_dQQQ_W,-0.10029435798011466,0.8540402285705582,-0.18406882092470392
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_dQQQ_M,-0.14296285415186077,0.6604976439615735,-0.43950986147591126
QQQ_1M_FWD_SUM,3y,m_10_x_MA20_MRDI_x_dQQQ_W_x_RET_QQQ,29.05010977859796,0.03457290015128191,2.1195946537283623
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_RET_QQQ,0.0495552073280449,0.9013650545116579,0.12400524475304572
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_RET_SP500,-0.8136759176595494,0.4277658964895451,-0.7937200438497495
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_dQQQ_D,0.34119586527631673,0.627079873532293,0.48616616451218503
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_dQQQ_W,0.07632669525483649,0.8815854037337916,0.14904215572969617
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_dQQQ_M,0.04955520732688358,0.9013650545139589,0.12400524475013802
QQQ_1M_FWD_SUM,3y,m_10_x_MA60_MRDI_x_dQQQ_W_x_RET_QQQ,-33.446424570727565,0.008755122078276526,-2.632682699058554
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_RET_QQQ,-0.35855778501106417,0.542315201587547,-0.6097681163346597
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_RET_SP500,1.1426953323193478,0.42921826251942824,0.7912257661783773
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_dQQQ_D,0.5818568896637766,0.4645003393736946,0.7320645858149567
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_dQQQ_W,0.1852148310816465,0.5909249852658701,0.5378711812950236
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_dQQQ_M,-0.35855778502831537,0.5423152015697579,-0.6097681163615337
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Short_x_dQQQ_W_x_RET_QQQ,-4.838055561474679,0.738056308248564,-0.3346296913590513
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_RET_QQQ,0.25820107788047975,0.7024346795239318,0.3822729797282432
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_RET_SP500,-0.8025064893533889,0.6305905755886029,-0.48121634340936276
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_dQQQ_D,-0.5594350918716351,0.5294807340063419,-0.6292739826457214
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_dQQQ_W,-0.4078392184277264,0.24770838607961795,-1.1573966073330328
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_dQQQ_M,0.25820107788202756,0.7024346795222507,0.3822729797305113
QQQ_1M_FWD_SUM,3y,m_11_x_MRDI_Long_x_dQQQ_W_x_RET_QQQ,1.1232043060452845,0.9453951776960863,0.06852775175374502
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_RET_QQQ,-0.8348362576546993,0.054125982327766956,-1.9307464366320148
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_RET_SP500,2.05669121693105,0.054859949140815746,1.924864851359307
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_dQQQ_D,0.35680799190726176,0.4409430237053595,0.771266899916864
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_dQQQ_W,0.28682516680534154,0.2111741379880861,1.2520801876785295
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_dQQQ_M,-0.8348362576432103,0.054125982331234244,-1.9307464366040727
QQQ_1M_FWD_SUM,3y,m_11_x_MA20_MRDI_x_dQQQ_W_x_RET_QQQ,1.402824271096602,0.7802077457128207,0.27921113276792114
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_RET_QQQ,-0.5744145797022269,0.05518273863014952,-1.922299027092256
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_RET_SP500,0.9734610479089677,0.202328903860595,1.2767584154287221
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_dQQQ_D,-0.28742049197156205,0.35811768948280487,-0.9198758256155187
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_dQQQ_W,0.15577409619359472,0.35966028962829943,0.9169250763479726
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_dQQQ_M,-0.5744145797013966,0.05518273863074303,-1.92229902708755
QQQ_1M_FWD_SUM,3y,m_11_x_MA60_MRDI_x_dQQQ_W_x_RET_QQQ,0.23126310627994773,0.9639128390361609,0.045268519613026456
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_RET_QQQ,0.03156103684796596,0.9332870021535666,0.08375563281537712
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_RET_SP500,0.3929123605093183,0.6543428146694567,0.4480282699636235
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_dQQQ_D,-0.9630214007982018,0.3504932215532649,-0.9345795667295863
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_dQQQ_W,0.9912540615937273,0.17470124376278973,1.359342379210529
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_dQQQ_M,0.03156103684297984,0.933287002164002,0.08375563280224534
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Short_x_dQQQ_W_x_RET_QQQ,-43.1002189796024,0.0775847257885483,-1.7688137414239185
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_RET_QQQ,-0.290863558151243,0.43545970457004474,-0.7805623162672823
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_RET_SP500,-0.036041779204837754,0.969163616920224,-0.03867825626314015
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_dQQQ_D,0.5620747331084619,0.5548417650225046,0.590951712432192
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_dQQQ_W,-1.8851473159519556,0.09174518506119696,-1.6897772694996216
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_dQQQ_M,-0.29086355816578746,0.43545970454855826,-0.7805623163038387
QQQ_1M_FWD_SUM,3y,m_12_x_MRDI_Long_x_dQQQ_W_x_RET_QQQ,67.83690616675216,0.0408729314796397,2.050565538703181
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_RET_QQQ,0.46813302359696457,0.041999973789006,2.0391865174438926
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_RET_SP500,-1.5652770083259728,0.013168388457775446,-2.4888049546053277
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_dQQQ_D,0.6035521050387558,0.3669469998044609,0.9030932925218519
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_dQQQ_W,-0.0871309562727508,0.8465221227617443,-0.19366652411468283
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_dQQQ_M,0.46813302359205144,0.041999973790833325,2.0391865174256547
QQQ_1M_FWD_SUM,3y,m_12_x_MA20_MRDI_x_dQQQ_W_x_RET_QQQ,3.4625398354779335,0.7769520134798649,0.2834589588605286
