window,n_obs,R2,Adj_R2,RMSE,MAE,n_features
all,3548,0.17645268812902493,0.158662927647941,0.046714790467718564,0.03539134706390921,81
1y,241,0.884683206695585,0.8418512548968022,0.018520300317882755,0.013951817654721867,71
3y,722,0.5663009463698471,0.5233277169705179,0.03288433645650359,0.026552751112098597,71
5y,1207,0.44795408538244963,0.4113462661107288,0.04292484055535256,0.033641309207930306,81
10y,2415,0.23531274102345967,0.21079305550689675,0.04862640375228773,0.03660736826371835,81
