Year,SP500,QQQ,Diff
2000,-0.08849389920138095,-0.3839050542665654,-0.29541115506518445
2001,-0.10131535723897345,-0.27186019643922354,-0.1705448392002501
2002,-0.22419484362072628,-0.39242085203296506,-0.16822600841223878
2003,0.2418427441450297,0.43599403922134106,0.19415129507631135
2004,0.10747701193240333,0.10842479304920616,0.0009477811168028261
2005,0.05324953662740817,0.02645373248203975,-0.026795804145368418
2006,0.13842854235483815,0.048097404215079465,-0.09033113813975868
2007,0.053321146342463877,0.18807872727946262,0.13475758093699874
2008,-0.3623677325370446,-0.4079079759021532,-0.045540243365108646
2009,0.22654688925942557,0.48253439143104226,0.2559875021716167
2010,0.13137380940558963,0.18409738927302177,0.052723579867432147
2011,0.00852365779548081,0.018855633873327893,0.010331976077847083
2012,0.14170897508915936,0.15891411369950537,0.017205138610346005
2013,0.29001373245273254,0.3242532214053002,0.034239488952567676
2014,0.14561669045623904,0.20123702732959292,0.05562033687335388
2015,0.012884832650125855,0.09765432036241051,0.08476948771228465
2016,0.13585761098089533,0.09406127261265618,-0.04179633836823915
2017,0.20781461678249524,0.31487160899046795,0.10705699220797271
2018,-0.052471546880463626,-0.018465820870828376,0.03400572600963525
2019,0.3108749469110641,0.3840527493496033,0.07317780243853922
2020,0.17235229118421658,0.4596882836972702,0.28733599251305364
2021,0.3050546763598425,0.2924466353431956,-0.01260804101664692
2022,-0.1864639866490676,-0.33219864341447203,-0.14573465676540442
2023,0.2670923243227068,0.5590953031220232,0.29200297879931636
2024,0.25589290668969045,0.2773991769622921,0.021506270272601657
2025,0.17914970387673623,0.2182539634890952,0.03910425961235897
