Year,SP_m1,SP_m2,SP_m3,SP_m4,SP_m5,SP_m6,SP_m7,SP_m8,SP_m9,SP_m10,SP_m11,SP_m12,QQQ_m1,QQQ_m2,QQQ_m3,QQQ_m4,QQQ_m5,QQQ_m6,QQQ_m7,QQQ_m8,QQQ_m9,QQQ_m10,QQQ_m11,QQQ_m12
2000,,-0.015225661559057024,0.09691403371475293,-0.035120898827156743,-0.015722503985146297,0.019682810966965336,-0.015702616054974583,0.06534020340642055,-0.05486204407244488,-0.004678125768591279,-0.07465310313224904,-0.005226003610983354,,0.19024339264253665,0.025761679659958903,-0.1347035042596395,-0.12269103362021094,0.12405999860217998,-0.042809254760810544,0.13626755633702525,-0.1266909376006431,-0.0794011143873391,-0.22910703792338383,-0.0731829918548621
2001,0.04445914239091597,-0.0953872253346123,-0.056037665925086966,0.08544025841970004,-0.005605410807368982,-0.02382961554263674,-0.010195846247289975,-0.059332452859974794,-0.08163049226886765,0.013021875740046873,0.07797795951747188,0.005638788068541123,0.10149949183454265,-0.2620529515429504,-0.17492111628969886,0.17879995147185346,-0.030769514962429856,0.021685605659532925,-0.08621450162239519,-0.12284443557296443,-0.2088453607282612,0.1697718350660391,0.16961677145231824,-0.018663650328331727
2002,-0.009799180137911367,-0.017935717687247887,0.033270606873456954,-0.05815608374423453,-0.005933060866886608,-0.07380783082159759,-0.07881952132984016,0.006801208363474087,-0.1048521299493076,0.08228336419480664,0.061681465404708424,-0.05656991486717644,-0.010279739062765025,-0.12282525572428737,0.06749491936717411,-0.12007710602603949,-0.053262020956297285,-0.13115825115524804,-0.08620700084025568,-0.015094246130717637,-0.11792248805398853,0.1848454005146949,0.1291241360791393,-0.12085117129495648
2003,-0.02459505523951644,-0.013478797082429272,0.0021398625899444745,0.08461189509179445,0.05483570597143572,0.010652219177526456,0.018026986642688536,0.020626127262875826,-0.010906529486706895,0.053527446931337375,0.010921049073241207,0.05031256313637278,0.0028724018889849656,0.029459530265361966,0.0035773988422778125,0.08712890035352605,0.08524551615708353,0.005371191526013508,0.06176931971901878,0.050000251772531756,-0.0290508620243628,0.08513276755686205,0.00568534083549066,0.030928011830133384
2004,0.019769878612945213,0.013570625411965409,-0.013245550975553688,-0.018921298587107893,0.017123245843122747,0.018501390124465278,-0.03221855871809787,0.002436307471871846,0.010037113483762461,0.012884245027447117,0.044517292021376775,0.03012102138065731,0.016730605147219357,-0.013488470642554318,-0.019960717229583924,-0.02985556724357452,0.0511941303020047,0.03255777145837557,-0.07551671419953243,-0.024935366764815448,0.03292155135492303,0.050085256605767015,0.060162720042542306,0.030223820559975634
2005,-0.022420432158067327,0.020903893999752565,-0.018293164165682163,-0.018734697711626058,0.03222414622340364,0.0015150619935770937,0.0382614327274724,-0.009374445109251894,0.008025291475653118,-0.023651187259168704,0.04395309103007783,-0.0019136480452859317,-0.06312661066525405,-0.004812274829506302,-0.017464369369915245,-0.043478096266965194,0.08862269944524948,-0.033246157790430164,0.07612839813264616,-0.015158962352635585,0.012313674585568313,-0.01495199993034535,0.060973071731384776,-0.017762711732372094
2006,0.024013901257106562,0.005725529620348668,0.016503984590139575,0.012631927429061163,-0.030121027598773997,0.0026079886156795684,0.004478488420011528,0.021822342246614612,0.027001808925717574,0.03151652149748174,0.019885144270810118,0.013371448107484474,0.0393463995987835,-0.02142822396006272,0.020909729401017207,-0.001907818544645501,-0.07240121128908161,-0.000615424948578025,-0.04307440140556018,0.04770830937044712,0.04639596085505904,0.04747811807284519,0.03428836915030642,-0.0187875742658703
2007,0.015040690654763322,-0.019617778133029118,0.011589073247248338,0.04429607957212878,0.03391948852460058,-0.014620625590906045,-0.03131046222420808,0.01283366739959968,0.038714019483041984,0.013566192610411587,-0.03873257503367755,-0.011260749483381849,0.021084396804097905,-0.016791711433387868,0.00524880681705886,0.055823329706455205,0.03154947738022251,0.004792681743989613,-0.0014710386074329174,0.02819320352752741,0.05252147583353328,0.07041411264511055,-0.067599512186721,-0.0007131840218469465
2008,-0.06046076659870481,-0.025842668215608433,-0.008942821070226703,0.04766272965006779,0.01511653706889704,-0.08357577199131905,-0.008985827635465626,0.01545372019660407,-0.09417329466057534,-0.16518699429475314,-0.06960588819204683,0.009796058708328115,-0.11889911448687995,-0.048304927569419176,0.01872348893700515,0.07982620816537711,0.059309596261026165,-0.09615100398368903,0.006420701152614283,0.014517807132181426,-0.15576250763858157,-0.1547157913701468,-0.1146246043385819,0.022774086546198058
2009,-0.08211449255636527,-0.10744885445398833,0.08331026288246735,0.09934602257640424,0.05845362668581333,-0.0006553075570864264,0.07460612601405647,0.03693983635711362,0.035456759784510794,-0.019224889658794986,0.06160663479539008,0.019100912946663717,-0.022864896892451747,-0.052650041043134976,0.10316520508860849,0.13060699390993658,0.03208882105972344,0.029529470884860354,0.0843864600359967,0.014702992072925358,0.05647910243233989,-0.030532078122559203,0.0634759316209188,0.05202824038521059
2010,-0.036342272368931616,0.031194532856186896,0.060879594194024333,0.015470164639330264,-0.07945471804058701,-0.05174101389993424,0.06830098277443009,-0.04498045778168158,0.08955455044369742,0.03820180336411938,0.0,0.06685267858084387,-0.0646991878285531,0.04603873212381249,0.07710913395131902,0.022425582223861262,-0.07392406094483728,-0.05975655009169323,0.07258215415790836,-0.051298815878647486,0.13172840801131014,0.06337880578776245,-0.0017249908233190059,0.047571018569971146
2011,0.02330032783037783,0.034736710168757234,0.00012038514883405682,0.02896183742374525,-0.011214729593063022,-0.01686980978822683,-0.02000458215939449,-0.054975520399565436,-0.06942066966892513,0.10914686620662284,-0.0040640060253313015,0.010448561383984645,0.02827786684693523,0.03160705999024738,-0.0044828777512830875,0.02873067492117709,-0.012187052557939726,-0.020254586060753588,0.016652119764120288,-0.05068972065334221,-0.04490822902136504,0.10401997983122024,-0.026919712260075057,-0.006142110328636319
2012,0.04637455993276318,0.04340577876971441,0.03216357849930973,-0.006675851434294722,-0.06005544985743749,0.04058076327315252,0.011829551203159872,0.025052686382016853,0.02535095454935621,-0.018198146366849133,0.005659044743526076,0.008935165724659688,0.08418423836917888,0.06410052249539744,0.05053018425168787,-0.011694990059996191,-0.07040133473663945,0.03621441114366686,0.009975054014675022,0.05185164362536465,0.008884408616518735,-0.052792897571629194,0.013087122812309504,-0.004669471124961189
2013,0.05119004671656624,0.012759138170065798,0.037970961301217354,0.019212270917656538,0.023609889166578135,-0.013344473072759655,0.05167677320946207,-0.029992363286098,0.03164669069764181,0.04630655019168883,0.029637707109366085,0.025926028532358814,0.02671613828988395,0.003439291940093847,0.030247568611357467,0.02537386907528938,0.03577432265160674,-0.023951999442413996,0.06313969733655322,-0.0039594342919343495,0.048321990976522455,0.04956833521485993,0.0355122188804351,0.029270773134991046
2014,-0.035247739684103885,0.04551568176343079,0.008295517053773516,0.006951207300035511,0.023206244768341433,0.020645440256504388,-0.013437778464319594,0.0394635565807997,-0.013796312493504659,0.023550840670666373,0.027471896537784923,-0.002536335515747834,-0.019213086918487998,0.05152438926404712,-0.027336188484429758,-0.0031934783985282378,0.04485622999532479,0.03123826025867671,0.011819671176267255,0.050094911509387385,-0.0075664677645777,0.026419700522357203,0.04546352614833249,-0.022406365262153782
2015,-0.029629455979346075,0.05620492366848717,-0.015705936130880227,0.009833823613741188,0.012856277762237411,-0.020312195083182716,0.022589469446125054,-0.0609502340830389,-0.025515981647945662,0.08505976681274952,0.0036550843301632607,-0.017282675350114407,-0.02082326818867153,0.07220608518831462,-0.023590244376115566,0.01922374472064159,0.022484671407648538,-0.024841074694049836,0.0455774884928819,-0.06824460014420164,-0.022073258599171974,0.11369925800719294,0.006088520096843908,-0.01594813768912251
2016,-0.04978660806808255,-0.000825809818556289,0.06726601581631098,0.003941261928515072,0.017011840465309458,0.003475530691188,0.03647133496723676,0.0011975269819972656,5.7945411009452386e-05,-0.01733725944547415,0.03683865345754711,0.020271795356349376,-0.06910416172166967,-0.01565330393470943,0.06852609046172531,-0.031868276533709494,0.04370028167760509,-0.022779989260322875,0.07150837023947165,0.010500781828714167,0.022135328486027506,-0.014572378627223603,0.00435956851489272,0.011322192401682196
2017,0.01789486494632908,0.03929128705427676,0.0012502738504005517,0.009925869934972464,0.014113008723280362,0.00637495569374269,0.020554183509990276,0.00291753456052124,0.020149451355984116,0.023564026001683835,0.03056598378267883,0.012128160576260205,0.05140120226628975,0.04375053698429099,0.020268831586655267,0.027269685154908574,0.038973691135382404,-0.023179735279377445,0.040613099811670716,0.020735920836678634,-0.002952064443093594,0.046063787794708766,0.0197171563426084,0.006031276388714035
2018,0.0563588508512729,-0.03636019085325726,-0.027410530622853924,0.005168159113350557,0.024309057315211824,0.005750660199846047,0.03704648111922504,0.031919898264608726,0.005945640930954621,-0.06910421498241082,0.018549252221618406,-0.0880484280459305,0.08757080755900559,-0.012928099632390166,-0.04078836728602664,0.005058476938507139,0.056729178113794854,0.011450635331016201,0.027963686453156944,0.05780672891126115,-0.0028161913604515254,-0.0859569495421143,-0.002650407274674915,-0.08660728242912819
2019,0.08006567978222612,0.03241550415113825,0.01810134883257608,0.040851673821247214,-0.06377118585813035,0.0695864743794834,0.015119405790682938,-0.016742931078010614,0.019457511079097545,0.022104637650687264,0.03619817764396194,0.02905551013553076,0.09010794385606502,0.029911948596895943,0.03924579392783967,0.054992785874911965,-0.08225184276801656,0.07590074328413232,0.02334779483046412,-0.01899540110992126,0.009178940615035769,0.043800498865163906,0.04069420854958716,0.0388638011000626
