product,date,nav,daily_pct,prod_diff_yen_per_10k
Rakuten QQQ,2026-02-03,16054,0.9304664906324644,149.37709040613584
Rakuten S&P 500,2026-02-03,17676,0.7409096090277068,130.96318249173746
Rakuten VTI,2026-02-03,40068,0.7619766125990246,305.3087891361772
Rakuten LN,2026-02-03,13211,1.319119564383775,174.26888565074051
