fetch_date,JP90C000Q2U6_date,JP90C000QF22_date,JP90C000FHD2_date,JP90C000MLM1_date,楽天VTI,楽天VTI_date,楽天VT,楽天VT_date,USA360,USA360_date,楽天Nasdaq100,楽天Nasdaq100_date,month
2025-11-30 10:48:15,2025-11-28,2025-11-28,2025-11-28,2025-11-28,,,,,,,,,2025-11
2025-12-04 22:39:33,,,,,17297.0,2025-12-04,15935.0,2025-12-04,39210.0,2025-12-04,13356.0,2025-12-04,2025-12
