date,Rakuten LN,Rakuten QQQ,Rakuten S&P 500,Rakuten VTI
2025-11-20,1.031849203769908,1.6963583966465912,1.5063661904477277,1.4564004969206843
2025-11-21,-3.8024049398765034,-0.582918522399789,0.0657540797417643,-0.0317183411307597
2025-11-25,2.681182970425744,2.39717055279014,2.211728136768487,2.228213464435802
2025-11-26,3.7942801429964312,2.672255698192294,2.8214477852830377,2.997383236856721
2025-11-27,5.589860253493661,3.2617238669111925,3.221949907346522,3.552454206644984
2025-11-28,5.581735456613579,3.739848048205397,3.700161396377544,3.8696376179525815
2025-12-01,7.060448488787774,4.041131778883944,3.753960188893535,3.9410038854967855
2025-12-02,6.288592785180369,3.556457951270642,3.1023970350887664,3.31985303835276
2025-12-03,8.0841728956776,4.519255960178148,3.4491003646362595,3.536595036079615
2025-12-04,8.514787130321743,4.368614094838885,3.3953015721202684,3.6396796447545783
2025-12-05,8.214169645758851,4.1524757663086165,3.3953015721202684,3.681970766262266
2025-12-08,9.132271693207672,4.689546764474728,3.6882061091517695,3.903999154177562
2025-12-09,8.555411114722133,4.96463190987686,3.861557773925517,4.1260275420928805
2025-12-10,8.864153396165086,5.71129159025412,4.333791619343663,4.588586683583107
2025-12-11,9.676633084172902,5.46895467644748,4.363679837408085,4.683741706975386
2025-12-12,8.953526161845948,4.990830495153253,4.483232709665841,4.926915655644537
2025-12-15,4.688007799805005,3.1962274037202087,3.5746308805069127,3.935717495308322
2025-12-16,3.696782580435487,2.07623788315432,2.8274254288959355,3.1321861866624445
2025-12-17,4.0623984400389945,2.056588944197024,2.2954151473489226,2.5506832659318635
2025-12-18,0.0812479688007794,0.6877128635053742,1.7155837168987942,2.032617027462802
