date,Rakuten LN,Rakuten QQQ,Rakuten S&P 500,Rakuten VTI
2026-02-13,-1.7793305167370765,-0.8580036678019431,1.7514495785761364,2.130415245949302
2026-02-16,-1.4949626259343485,-0.582918522399789,1.9068683125112118,2.41588031612614
2026-02-17,-1.5030874228144309,-0.41917736442231845,2.0742423336720606,2.5824016070626232
2026-02-18,-1.787455313617159,-0.6091171076761825,2.122063482575176,2.6431950942299
2026-02-19,-0.2762430939226568,1.19858527639507,3.7360272580548637,4.22118256548516
2026-02-20,-1.0643483912902152,1.0348441184176105,3.694183752764668,4.266116882087068
2026-02-24,-1.8280792980175486,0.48467382761330224,3.1382628967660864,3.5392382311738357
2026-02-25,0.28436789080272806,2.2137804558553853,4.590830294697823,5.037929849602207
2026-02-26,3.128046798830031,3.8773906209064624,5.660828501404747,6.07406232654033
2026-02-27,0.6824829379265429,2.4364684307047524,4.865801900890676,5.4185499431713025
