week,Rakuten LN,Rakuten QQQ,Rakuten S&P 500,Rakuten VTI
2026-01-20 ~ 2026-01-24,10.895270270270263,4.697279135647925,4.157706093189972,4.838581740303005
2026-01-27 ~ 2026-01-31,10.126689189189197,4.789511825548454,4.814814814814805,5.140001586420251
2026-02-03 ~ 2026-02-07,5.532094594594605,3.93965346860794,5.8482676224611785,6.387985510695127
2026-02-10 ~ 2026-02-14,2.398648648648649,0.0,1.8399044205495763,2.448375241268086
2026-02-17 ~ 2026-02-21,2.8462837837837762,1.62724817181632,3.626045400238942,4.299198857777431
2026-02-24 ~ 2026-02-28,4.01182432432432,3.2149680479609977,4.8387096774193505,5.412337061420902
2026-03-03 ~ 2026-03-07,1.0895270270270263,3.3401409842545693,4.175627240143376,4.550382062875125
2026-03-10 ~ 2026-03-14,-1.2922297297297325,2.7208643520653553,3.010752688172036,3.3473467121440503
2026-03-17 ~ 2026-03-21,-5.413851351351351,0.7510376177613853,1.1290322580645107,1.5652679728193286
2026-03-24 ~ 2026-03-28,-11.545608108108107,-2.1806443112194485,-0.7048984468339348,-0.1639300917479658
2026-03-31 ~ 2026-04-04,-4.915540540540542,1.5481915804730129,2.502986857825573,3.0935194733084703
2026-04-07 ~ 2026-04-11,3.4966216216216317,6.1466499769418315,6.24850657108722,6.76079426773486
