week,Rakuten LN,Rakuten QQQ,Rakuten S&P 500,Rakuten VTI
2026-01-13 ~ 2026-01-17,-2.064631956912033,-1.4546788093637297,-0.9845366559127822,-0.8058590114142894
2026-01-20 ~ 2026-01-24,0.2902535899786063,-1.8285149493451947,-2.450486740516955,-2.4839526819310898
2026-01-27 ~ 2026-01-31,-1.5181268882175192,0.0,0.4637847122817007,0.1940133037694025
2026-02-03 ~ 2026-02-07,-5.41972598592082,-1.725426684938336,0.24326770762614913,0.42178296895278855
2026-02-10 ~ 2026-02-14,-4.399936918467118,-4.039701605765589,-3.7597380602912955,-3.6886977703760815
2026-02-17 ~ 2026-02-21,0.44543429844097204,1.4601420678768795,1.5870227219489275,1.6413295542385908
2026-02-24 ~ 2026-02-28,1.9200529669783917,2.118367879024907,1.7155442216297612,1.7767793321760372
2026-03-03 ~ 2026-03-07,-2.951431119759995,-0.6271777003484358,-1.279365977922442,-1.521679575623236
2026-03-10 ~ 2026-03-14,-4.782467003421864,-1.2852168407723963,-1.327534905012584,-1.387592401039428
2026-03-17 ~ 2026-03-21,-6.339382788324832,-2.9755107219895938,-2.7851154243711984,-2.6804489371943907
2026-03-24 ~ 2026-03-28,-8.755880815473082,-3.452760257493981,-2.2924994121796383,-2.226883140423108
2026-03-31 ~ 2026-04-04,9.226739109343175,4.693336955783467,3.7048229179257763,3.7988499627302774
