fetch_date,JP90C000Q2U6_date,JP90C000QF22_date,JP90C000FHD2_date,JP90C000MLM1_date,楽天VTI,楽天VTI_date,楽天VT,楽天VT_date,USA360,USA360_date,楽天Nasdaq100,楽天Nasdaq100_date,month
2025-11-30 10:48:15,2025-11-28,2025-11-28,2025-11-28,2025-11-28,,,,,,,,,2025-11
2025-12-05 13:52:02,,,,,17297.0,2025-12-05,15902.0,2025-12-05,39226.0,2025-12-05,13319.0,2025-12-05,2025-12
