product,status,date,units,value,daily_pnl_yen,daily_pnl_pct,since_change_pnl_yen,since_change_pnl_pct
Rakuten QQQ,Ideco,2026-03-16,24800492,38668927.1264,-197391.15429504804,-0.5078720162519033,396686.12640000135,1.0364852332530028
Rakuten LN,personal,2026-03-16,473642,553545.4054,-7522.013020712332,-1.340661170788571,-46454.59459999995,-7.742432433333326
