Month,Name,Open,Close,ChangePct,Avg,Min,Max,AvgDiffP,Volatility
2025-11,DOW,47716.421875,47716.421875,0.0,47716.421875,47716.421875,47716.421875,0.6099901798343067,
2025-11,NASDAQ100,25434.890625,25434.890625,0.0,25434.890625,25434.890625,25434.890625,0.7843707524150216,
2025-11,RUSSELL2000,2500.429931640625,2500.429931640625,0.0,2500.429931640625,2500.429931640625,2500.429931640625,0.5755882169246681,
2025-11,SP500,6849.08984375,6849.08984375,0.0,6849.08984375,6849.08984375,6849.08984375,0.5354773163420171,
2025-11,US10Y,4.017000198364258,4.017000198364258,0.0,4.017000198364258,4.017000198364258,4.017000198364258,0.4752449291772168,
2025-11,USDJPY,156.28399658203125,156.07699584960938,-0.13245165016830324,156.1804962158203,156.07699584960938,156.28399658203125,-0.05182539708526615,0.14637162160608985
2025-11,VIX,16.350000381469727,16.350000381469727,0.0,16.350000381469727,16.350000381469727,16.350000381469727,-4.8865626904644,
2025-12,DOW,47289.328125,48101.5,1.7174527683142042,48027.070033482145,47289.328125,48807.16015625,0.15420032182338136,415.6734752929803
2025-12,NASDAQ100,25342.849609375,24957.35546875,-1.52111600142391,25436.181501116072,24957.35546875,25704.0,-0.10750216260588562,255.20761792737383
2025-12,RUSSELL2000,2469.12890625,2530.43359375,2.482846778263463,2526.7001604352677,2464.9833984375,2577.8623046875,0.1319641702929792,30.97370525297906
2025-12,SP500,6812.6298828125,6774.2001953125,-0.5640947499137415,6839.411516462053,6774.2001953125,6896.7900390625,-0.029970484532439296,33.309256471954676
2025-12,US10Y,4.065000057220459,4.124000072479248,1.451414869084448,4.134714262826102,4.065000057220459,4.193999767303467,0.17193531288941813,0.040446387540820396
2025-12,USDJPY,155.2790069580078,156.03500366210938,0.4868634330627881,155.48970570283777,154.88600158691406,156.57899475097656,-0.06589814320385398,0.49009377633190626
2025-12,VIX,18.020000457763672,17.6200008392334,-2.219753653546324,16.602142674582346,14.9399995803833,18.020000457763672,2.4330904992803375,0.7715637979364649
