Month,Name,Open,Close,ChangePct,Avg,Min,Max,AvgDiffP,Volatility
2025-11,DOW,47716.421875,47716.421875,0.0,47716.421875,47716.421875,47716.421875,0.6099901798343067,
2025-11,NASDAQ100,25434.890625,25434.890625,0.0,25434.890625,25434.890625,25434.890625,0.7843707524150216,
2025-11,RUSSELL2000,2500.429931640625,2500.429931640625,0.0,2500.429931640625,2500.429931640625,2500.429931640625,0.5755882169246681,
2025-11,SP500,6849.08984375,6849.08984375,0.0,6849.08984375,6849.08984375,6849.08984375,0.5354773163420171,
2025-11,US10Y,4.017000198364258,4.017000198364258,0.0,4.017000198364258,4.017000198364258,4.017000198364258,0.4752449291772168,
2025-11,USDJPY,156.28399658203125,156.07699584960938,-0.13245165016830324,156.1804962158203,156.07699584960938,156.28399658203125,-0.05182539708526615,0.14637162160608985
2025-11,VIX,16.350000381469727,16.350000381469727,0.0,16.350000381469727,16.350000381469727,16.350000381469727,-4.8865626904644,
2025-12,DOW,47289.328125,47954.98828125,1.407632932509548,47690.5234375,47289.328125,47954.98828125,0.101490722527102,291.68664761212955
2025-12,NASDAQ100,25342.849609375,25692.05078125,1.377908077652882,25555.800390625,25342.849609375,25692.05078125,0.20226623111724074,129.5742684554349
2025-12,RUSSELL2000,2469.12890625,2521.484130859375,2.12039251886973,2499.7783203125,2464.9833984375,2531.15869140625,0.1736216149919554,30.653984446420612
2025-12,SP500,6812.6298828125,6870.39990234375,0.8479841195688212,6843.848046875,6812.6298828125,6870.39990234375,0.06261321631836564,22.911871657155746
2025-12,US10Y,4.065000057220459,4.119999885559082,1.3530092881777347,4.091599941253662,4.065000057220459,4.119999885559082,0.46509302120792173,0.02550085984878757
2025-12,USDJPY,155.2790069580078,154.93099975585938,-0.22411735428121926,155.33380126953125,154.92999267578125,155.96600341796875,-0.2582347466088903,0.44173693915976764
2025-12,VIX,18.020000457763672,15.68000030517578,-12.985572104021426,16.679999923706056,15.68000030517578,18.020000457763672,1.6783090226046706,0.8892413171705895
