window,n_obs,R2,Adj_R2,AIC,BIC,n_features
all,3548,0.17645376765363463,0.1586640304917747,-11519.192398224193,-11049.957808123554,81
1y,241,0.8846836296036775,0.8418518348850434,-1106.7164524549567,-876.7198548445734,71
3y,722,0.5663005308946951,0.5233272603278585,-2749.963752789056,-2447.550093622129,71
5y,1207,0.4479541415958853,0.41134632605184585,-4022.6897007339376,-3635.401815930525,81
10y,2415,0.23531292497369127,0.21079324535548982,-7598.460288373059,-7158.461741350471,81
