window,variable,coef,p_value,t_value
all,const,-0.026675471463297983,0.00024317316448845341,-3.673169659252877
all,VIX,0.0022117762812844423,2.0224730006214042e-19,9.065665366977198
all,US10Y,-0.002466919261927383,0.0618840064674856,-1.8677292330080166
all,USDJPY,0.00016507207032869276,0.008168983668379579,2.6465281649429255
all,RET_QQQ,0.29072185889242447,0.5135355704208453,0.653409519999354
all,RET_SP500,0.14765528642805476,0.7979107910387092,0.2560715093810808
all,RET_NASDAQ,-0.45118426103877085,0.41333968144790123,-0.8181289871157079
all,RET_DOW,-0.05098059115165139,0.8821907680398136,-0.1482035099319157
all,RET_VIX,-0.01994572668944823,0.20496749289165497,-1.2677633302295295
all,RET_US10Y,0.10723152103770611,0.05459682136253326,1.9227209311354618
all,RET_USDJPY,0.04783668947988799,0.7281258910157292,0.3476476477964283
all,RET_GOLD,0.043786947842965995,0.6096268227213151,0.5106525704175073
all,RET_TLT,0.33153356490906105,0.03258878181132092,2.137970279636645
all,RET_QQQ_MA20,37.81031038749991,0.012023084952766425,2.512788169371678
all,RET_SP500_MA20,-35.18902798107158,0.044290366033985513,-2.0120632971560135
all,RET_NASDAQ_MA20,10.976257176592778,0.0007900834518498338,3.3592119410464933
all,RET_DOW_MA20,6.002602194625919,0.005344479518597081,2.7872605184600254
all,RET_VIX_MA20,-0.40547646389917336,0.0009488095536769843,-3.3081220686996518
all,RET_US10Y_MA20,-0.8033027314570866,0.08482232942621644,-1.7238589438507295
all,RET_USDJPY_MA20,2.515990382639616,0.012319371529977474,2.504171384300183
all,RET_GOLD_MA20,0.12112871819161308,0.8230840006902074,0.22359706713909636
all,RET_TLT_MA20,-0.6100108622948522,0.615440825470368,-0.5023675990340986
all,RET_QQQ_MA60,-32.12538919776988,1.4070364374920825e-10,-6.434651402835035
all,RET_SP500_MA60,-4.097984425223938,0.5152594057144209,-0.6507368897416864
all,RET_NASDAQ_MA60,32.51343713646867,1.4888303091193122e-08,5.676356860788447
all,RET_DOW_MA60,-2.2408042364245593,0.5599684744417106,-0.5829445691543818
all,RET_VIX_MA60,-1.0816201169081054,1.9272838375253437e-06,-4.769028323123775
all,RET_US10Y_MA60,0.5439511733144504,0.5633702798846841,0.5778982695794435
all,RET_USDJPY_MA60,-12.333145260038854,7.891493947554258e-13,-7.19009297182431
all,RET_GOLD_MA60,-4.460850137496172,2.7414288031163176e-05,-4.1995665914222515
all,RET_TLT_MA60,5.595780645701653,0.02359885606039586,2.264596467883558
all,MRDI_Short,-0.01013397692536505,0.00011288703027277598,-3.865506955487075
all,MRDI_Long,-0.011557895845302622,7.737892595156712e-06,-4.479082656573018
all,MA20_MRDI,0.001404137636078313,0.2206594290371211,1.224997054332975
all,MA60_MRDI,0.0007550520400805356,0.5186669244662461,0.6454675006916343
all,RiskScore,0.11626451784092136,7.0637748422814e-06,4.498615771493515
all,RET_QQQ_20D,-1.6997407251833323,0.0029947976701542875,-2.9703695913423407
all,RET_SP500_20D,0.8403832921462673,0.19714240530142954,1.2899831914901114
all,wd_0_x_MRDI_Short,-0.0026365296558166097,0.19490496752909062,-1.2964549039475268
all,wd_0_x_MRDI_Long,-0.0011717810804476663,0.5372033813861244,-0.6171088738053547
