date,RiskScore,Regime,MRDI_Short,MRDI_Long,MA20_MRDI,MA60_MRDI
2005-08-22,,,1.54884332772025,,,
2005-08-23,,,1.5885889084884668,,,
2005-08-24,,,2.131717888610592,,,
2005-08-25,,,1.0855572539031129,,,
2005-08-26,,,2.117330638859132,,,
2005-08-29,,,1.7360078656068791,,,
2005-08-30,,,3.4443316023774306,,,
2005-08-31,,,3.1280139447879267,,,
2005-09-01,,,3.829605521293732,,,
2005-09-02,,,1.3513340378634058,,,
2005-09-07,,,4.462562486333143,,,
2005-09-08,,,1.980472654412483,,,
2005-09-09,,,2.781642554572798,,,
2005-09-12,,,2.5486944734036774,,,
2005-09-13,,,2.7328680778226784,,,
2005-09-14,,,2.9201937979703274,,,
2005-09-15,,,3.115950899682603,,,
2005-09-16,,,3.8690523047951535,,,
2005-09-19,,,2.244561259365907,,,
2005-09-20,,,1.9212860640949339,,,
2005-09-21,,,3.4379342472588257,,,
2005-09-22,,,3.2769584592626444,,,
2005-09-23,,,2.3292804924618795,,,
2005-09-26,,,1.5254098328015935,,,
2005-09-27,,,2.066854126482489,,,
2005-09-28,,,1.935738934153479,,,
2005-09-29,,,2.5771806060370563,,,
2005-09-30,,,1.829328013692575,,,
2005-10-03,,,2.703528987494592,,,
2005-10-04,,,2.0964534316438477,,,
2005-10-05,,,3.2100255692278643,,,
2005-10-06,,,3.7497392747377374,,,
2005-10-07,,,1.8516836935561614,,,
2005-10-10,,,1.6969318603196122,,,
2005-10-11,,,2.6431821194370935,,,
2005-10-12,,,3.8001556079140215,,,
2005-10-13,,,2.1825905147730897,,,
2005-10-14,,,2.8199419003755146,,,
2005-10-17,,,3.0092402087252523,,,
2005-10-18,,,2.255210198573631,,,
2005-10-19,,,3.9683026082757102,,,
2005-10-20,,,4.973442163575499,,,
2005-10-21,,,4.35853975894348,,,
2005-10-24,,,3.249974609245514,,,
2005-10-25,,,2.9169468475870652,,,
2005-10-26,,,2.438485123142112,,,
2005-10-27,,,3.0076824866664453,,,
2005-10-28,,,3.8272313167119183,,,
2005-10-31,,,5.416385324943088,,,
2005-11-01,,,2.498857954207803,,,
2005-11-02,,,2.7301230374451,,,
2005-11-03,,,2.7621866323705118,,,
2005-11-04,,,2.1413661639994923,,,
2005-11-07,,,2.3071117583315854,,,
2005-11-08,,,2.401043855587579,,,
2005-11-09,,,2.7321647682870434,,,
2005-11-10,,,3.414455984766449,,,
2005-11-11,,,1.1159954809830106,,,
2005-11-14,,,2.310164491654724,,,
